,loss,accuracy,val_loss,val_accuracy
0,2.053682327270508,0.23250000178813934,1.5477365255355835,0.2150000035762787
1,1.254702091217041,0.4637500047683716,0.9607337117195129,0.5400000214576721
2,0.9536194801330566,0.5924999713897705,0.7469606995582581,0.6200000047683716
3,0.8348369002342224,0.6299999952316284,0.5263746976852417,0.7900000214576721
4,0.6938372254371643,0.7024999856948853,0.45572784543037415,0.824999988079071
5,0.6473554372787476,0.7162500023841858,0.531883180141449,0.7200000286102295
6,0.6345700025558472,0.7475000023841858,0.3779802620410919,0.8700000047683716
7,0.5894043445587158,0.7612500190734863,0.4009493887424469,0.8349999785423279
8,0.6501500010490417,0.7287499904632568,0.4665399193763733,0.7950000166893005
9,0.5826115608215332,0.7587500214576721,0.4089334011077881,0.8450000286102295
